type,time,x_val,y_val,z_val,axis
voltage,0.0,0.0,0.0,0.0,x
,2.0,0.1,0.0,0.0,x
,4.0,0.2,0.0,0.0,x
,6.0,0.3,0.0,0.0,x
,8.0,0.4,0.0,0.0,x
,10.0,0.5,0.0,0.0,x
,12.0,0.6,0.0,0.0,x
,14.0,0.7,0.0,0.0,x
,16.0,0.8,0.0,0.0,x
,18.0,0.9,0.0,0.0,x
,20.0,1.0,0.0,0.0,x
,22.0,0.0,0.0,0.0,y
,24.0,0.0,0.1,0.0,y
,26.0,0.0,0.2,0.0,y
,28.0,0.0,0.3,0.0,y
,30.0,0.0,0.4,0.0,y
,32.0,0.0,0.5,0.0,y
,34.0,0.0,0.6,0.0,y
,36.0,0.0,0.7,0.0,y
,38.0,0.0,0.8,0.0,y
,40.0,0.0,0.9,0.0,y
,42.0,0.0,1.0,0.0,y
,44.0,0.0,0.0,0.0,z
,46.0,0.0,0.0,0.1,z
,48.0,0.0,0.0,0.2,z
,50.0,0.0,0.0,0.3,z
,52.0,0.0,0.0,0.4,z
,54.0,0.0,0.0,0.5,z
,56.0,0.0,0.0,0.6,z
,58.0,0.0,0.0,0.7,z
,60.0,0.0,0.0,0.8,z
,62.0,0.0,0.0,0.9,z
,64.0,0.0,0.0,1.0,z
